Source,Target,Type,Subject
1,2,Undirected,Phy
1,3,Undirected,Phy
1,4,Undirected,Phy
1,5,Undirected,Phy
1,16,Undirected,Phy-Calc
1,17,Undirected,Phy-Calc
1,18,Undirected,Phy-Calc
1,19,Undirected,Phy-Calc
1,24,Undirected,Phy-AdLit
1,25,Undirected,Phy-AdLit
1,26,Undirected,Phy-AdLit
1,27,Undirected,Phy-AdLit
1,32,Undirected,Phy-Bio
1,33,Undirected,Phy-Bio
1,34,Undirected,Phy-Prog
2,3,Undirected,Phy
2,4,Undirected,Phy
2,5,Undirected,Phy
2,16,Undirected,Phy-Calc
2,17,Undirected,Phy-Calc
2,18,Undirected,Phy-Calc
2,19,Undirected,Phy-Calc
2,24,Undirected,Phy-AdLit
2,25,Undirected,Phy-AdLit
2,26,Undirected,Phy-AdLit
2,27,Undirected,Phy-AdLit
2,32,Undirected,Phy-Bio
2,33,Undirected,Phy-Bio
2,34,Undirected,Phy-Prog
3,4,Undirected,Phy
3,5,Undirected,Phy
3,16,Undirected,Phy-Calc
3,17,Undirected,Phy-Calc
3,18,Undirected,Phy-Calc
3,19,Undirected,Phy-Calc
3,24,Undirected,Phy-AdLit
3,25,Undirected,Phy-AdLit
3,26,Undirected,Phy-AdLit
3,27,Undirected,Phy-AdLit
3,32,Undirected,Phy-Bio
3,33,Undirected,Phy-Bio
3,34,Undirected,Phy-Prog
4,5,Undirected,Phy
4,16,Undirected,Phy-Calc
4,17,Undirected,Phy-Calc
4,18,Undirected,Phy-Calc
4,19,Undirected,Phy-Calc
4,24,Undirected,Phy-AdLit
4,25,Undirected,Phy-AdLit
4,26,Undirected,Phy-AdLit
4,27,Undirected,Phy-AdLit
4,32,Undirected,Phy-Bio
4,33,Undirected,Phy-Bio
4,34,Undirected,Phy-Prog
5,16,Undirected,Phy-Calc
5,17,Undirected,Phy-Calc
5,18,Undirected,Phy-Calc
5,19,Undirected,Phy-Calc
5,24,Undirected,Phy-AdLit
5,25,Undirected,Phy-AdLit
5,26,Undirected,Phy-AdLit
5,27,Undirected,Phy-AdLit
5,32,Undirected,Phy-Bio
5,33,Undirected,Phy-Bio
5,34,Undirected,Phy-Prog
16,17,Undirected,Calc
16,18,Undirected,Calc
16,19,Undirected,Calc
16,24,Undirected,Calc-AdLit
16,25,Undirected,Calc-AdLit
16,26,Undirected,Calc-AdLit
16,27,Undirected,Calc-AdLit
16,32,Undirected,Calc-Bio
16,33,Undirected,Calc-Bio
16,34,Undirected,Calc-Prog
17,18,Undirected,Calc
17,19,Undirected,Calc
17,24,Undirected,Calc-AdLit
17,25,Undirected,Calc-AdLit
17,26,Undirected,Calc-AdLit
17,27,Undirected,Calc-AdLit
17,32,Undirected,Calc-Bio
17,33,Undirected,Calc-Bio
17,34,Undirected,Calc-Prog
18,19,Undirected,Calc
18,24,Undirected,Calc-AdLit
18,25,Undirected,Calc-AdLit
18,26,Undirected,Calc-AdLit
18,27,Undirected,Calc-AdLit
18,32,Undirected,Calc-Bio
18,33,Undirected,Calc-Bio
18,34,Undirected,Calc-Prog
19,24,Undirected,Calc-AdLit
19,25,Undirected,Calc-AdLit
19,26,Undirected,Calc-AdLit
19,27,Undirected,Calc-AdLit
19,32,Undirected,Calc-Bio
19,33,Undirected,Calc-Bio
19,34,Undirected,Calc-Prog
24,25,Undirected,AdLit
24,26,Undirected,AdLit
24,27,Undirected,AdLit
24,32,Undirected,AdLit-Bio
24,33,Undirected,AdLit-Bio
24,34,Undirected,AdLit-Prog
25,26,Undirected,AdLit
25,27,Undirected,AdLit
25,32,Undirected,AdLit-Bio
25,33,Undirected,AdLit-Bio
25,34,Undirected,AdLit-Prog
26,27,Undirected,AdLit
26,32,Undirected,AdLit-Bio
26,33,Undirected,AdLit-Bio
26,34,Undirected,AdLit-Prog
27,32,Undirected,AdLit-Bio
27,33,Undirected,AdLit-Bio
27,34,Undirected,AdLit-Prog
32,33,Undirected,Bio
32,34,Undirected,Bio-Prog
33,34,Undirected,Bio-Prog
6,7,Undirected,Chem
6,8,Undirected,Chem
6,9,Undirected,Chem
6,10,Undirected,Chem
6,16,Undirected,Chem-Calc
6,17,Undirected,Chem-Calc
6,18,Undirected,Chem-Calc
6,19,Undirected,Chem-Calc
6,24,Undirected,Chem-AdLit
6,25,Undirected,Chem-AdLit
6,26,Undirected,Chem-AdLit
6,27,Undirected,Chem-AdLit
6,32,Undirected,Chem-Bio
6,33,Undirected,Chem-Bio
6,34,Undirected,Chem-Prog
7,8,Undirected,Chem
7,9,Undirected,Chem
7,10,Undirected,Chem
7,16,Undirected,Chem-Calc
7,17,Undirected,Chem-Calc
7,18,Undirected,Chem-Calc
7,19,Undirected,Chem-Calc
7,24,Undirected,Chem-AdLit
7,25,Undirected,Chem-AdLit
7,26,Undirected,Chem-AdLit
7,27,Undirected,Chem-AdLit
7,32,Undirected,Chem-Bio
7,33,Undirected,Chem-Bio
7,34,Undirected,Chem-Prog
8,9,Undirected,Chem
8,10,Undirected,Chem
8,16,Undirected,Chem-Calc
8,17,Undirected,Chem-Calc
8,18,Undirected,Chem-Calc
8,19,Undirected,Chem-Calc
8,24,Undirected,Chem-AdLit
8,25,Undirected,Chem-AdLit
8,26,Undirected,Chem-AdLit
8,27,Undirected,Chem-AdLit
8,32,Undirected,Chem-Bio
8,33,Undirected,Chem-Bio
8,34,Undirected,Chem-Prog
9,10,Undirected,Chem
9,16,Undirected,Chem-Calc
9,17,Undirected,Chem-Calc
9,18,Undirected,Chem-Calc
9,19,Undirected,Chem-Calc
9,24,Undirected,Chem-AdLit
9,25,Undirected,Chem-AdLit
9,26,Undirected,Chem-AdLit
9,27,Undirected,Chem-AdLit
9,32,Undirected,Chem-Bio
9,33,Undirected,Chem-Bio
9,34,Undirected,Chem-Prog
10,16,Undirected,Chem-Calc
10,17,Undirected,Chem-Calc
10,18,Undirected,Chem-Calc
10,19,Undirected,Chem-Calc
10,24,Undirected,Chem-AdLit
10,25,Undirected,Chem-AdLit
10,26,Undirected,Chem-AdLit
10,27,Undirected,Chem-AdLit
10,32,Undirected,Chem-Bio
10,33,Undirected,Chem-Bio
10,34,Undirected,Chem-Prog
6,28,Undirected,Chem-GenBun
6,29,Undirected,Chem-GenBun
6,30,Undirected,Chem-GenBun
6,31,Undirected,Chem-GenBun
7,28,Undirected,Chem-GenBun
7,29,Undirected,Chem-GenBun
7,30,Undirected,Chem-GenBun
7,31,Undirected,Chem-GenBun
8,28,Undirected,Chem-GenBun
8,29,Undirected,Chem-GenBun
8,30,Undirected,Chem-GenBun
8,31,Undirected,Chem-GenBun
9,28,Undirected,Chem-GenBun
9,29,Undirected,Chem-GenBun
9,30,Undirected,Chem-GenBun
9,31,Undirected,Chem-GenBun
10,28,Undirected,Chem-GenBun
10,29,Undirected,Chem-GenBun
10,30,Undirected,Chem-GenBun
10,31,Undirected,Chem-GenBun
16,28,Undirected,Calc-GenBun
16,29,Undirected,Calc-GenBun
16,30,Undirected,Calc-GenBun
16,31,Undirected,Calc-GenBun
17,28,Undirected,Calc-GenBun
17,29,Undirected,Calc-GenBun
17,30,Undirected,Calc-GenBun
17,31,Undirected,Calc-GenBun
18,28,Undirected,Calc-GenBun
18,29,Undirected,Calc-GenBun
18,30,Undirected,Calc-GenBun
18,31,Undirected,Calc-GenBun
19,28,Undirected,Calc-GenBun
19,29,Undirected,Calc-GenBun
19,30,Undirected,Calc-GenBun
19,31,Undirected,Calc-GenBun
28,29,Undirected,GenBun
28,30,Undirected,GenBun
28,31,Undirected,GenBun
28,32,Undirected,GenBun-Bio
28,33,Undirected,GenBun-Bio
28,34,Undirected,GenBun-Prog
29,30,Undirected,GenBun
29,31,Undirected,GenBun
29,32,Undirected,GenBun-Bio
29,33,Undirected,GenBun-Bio
29,34,Undirected,GenBun-Prog
30,31,Undirected,GenBun
30,32,Undirected,GenBun-Bio
30,33,Undirected,GenBun-Bio
30,34,Undirected,GenBun-Prog
31,32,Undirected,GenBun-Bio
31,33,Undirected,GenBun-Bio
31,34,Undirected,GenBun-Prog
11,12,Undirected,Econ
11,13,Undirected,Econ-PoliSci
11,14,Undirected,Econ-PoliSci
11,15,Undirected,Econ-Art
11,16,Undirected,Econ-Calc
11,17,Undirected,Econ-Calc
11,18,Undirected,Econ-Calc
11,19,Undirected,Econ-Calc
11,24,Undirected,Econ-AdLit
11,25,Undirected,Econ-AdLit
11,26,Undirected,Econ-AdLit
11,27,Undirected,Econ-AdLit
11,32,Undirected,Econ-Bio
11,33,Undirected,Econ-Bio
11,34,Undirected,Econ-Prog
12,13,Undirected,Econ-PoliSci
12,14,Undirected,Econ-PoliSci
12,15,Undirected,Econ-Art
12,16,Undirected,Econ-Calc
12,17,Undirected,Econ-Calc
12,18,Undirected,Econ-Calc
12,19,Undirected,Econ-Calc
12,24,Undirected,Econ-AdLit
12,25,Undirected,Econ-AdLit
12,26,Undirected,Econ-AdLit
12,27,Undirected,Econ-AdLit
12,32,Undirected,Econ-Bio
12,33,Undirected,Econ-Bio
12,34,Undirected,Econ-Prog
13,14,Undirected,PoliSci
13,15,Undirected,PoliSci-Art
13,16,Undirected,PoliSci-Calc
13,17,Undirected,PoliSci-Calc
13,18,Undirected,PoliSci-Calc
13,19,Undirected,PoliSci-Calc
13,24,Undirected,PoliSci-AdLit
13,25,Undirected,PoliSci-AdLit
13,26,Undirected,PoliSci-AdLit
13,27,Undirected,PoliSci-AdLit
13,32,Undirected,PoliSci-Bio
13,33,Undirected,PoliSci-Bio
13,34,Undirected,PoliSci-Prog
14,15,Undirected,PoliSci-Art
14,16,Undirected,PoliSci-Calc
14,17,Undirected,PoliSci-Calc
14,18,Undirected,PoliSci-Calc
14,19,Undirected,PoliSci-Calc
14,24,Undirected,PoliSci-AdLit
14,25,Undirected,PoliSci-AdLit
14,26,Undirected,PoliSci-AdLit
14,27,Undirected,PoliSci-AdLit
14,32,Undirected,PoliSci-Bio
14,33,Undirected,PoliSci-Bio
14,34,Undirected,PoliSci-Prog
15,16,Undirected,Art-Calc
15,17,Undirected,Art-Calc
15,18,Undirected,Art-Calc
15,19,Undirected,Art-Calc
15,24,Undirected,Art-AdLit
15,25,Undirected,Art-AdLit
15,26,Undirected,Art-AdLit
15,27,Undirected,Art-AdLit
15,32,Undirected,Art-Bio
15,33,Undirected,Art-Bio
15,34,Undirected,Art-Prog
11,20,Undirected,Econ-Media
11,21,Undirected,Econ-Media
11,22,Undirected,Econ-Cult
11,23,Undirected,Econ-Cult
11,35,Undirected,Econ-Hist
11,36,Undirected,Econ-Hist
11,37,Undirected,Econ-Hist
12,20,Undirected,Econ-Media
12,21,Undirected,Econ-Media
12,22,Undirected,Econ-Cult
12,23,Undirected,Econ-Cult
12,35,Undirected,Econ-Hist
12,36,Undirected,Econ-Hist
12,37,Undirected,Econ-Hist
13,20,Undirected,PoliSci-Media
13,21,Undirected,PoliSci-Media
13,22,Undirected,PoliSci-Cult
13,23,Undirected,PoliSci-Cult
13,35,Undirected,PoliSci-Hist
13,36,Undirected,PoliSci-Hist
13,37,Undirected,PoliSci-Hist
14,20,Undirected,PoliSci-Media
14,21,Undirected,PoliSci-Media
14,22,Undirected,PoliSci-Cult
14,23,Undirected,PoliSci-Cult
14,35,Undirected,PoliSci-Hist
14,36,Undirected,PoliSci-Hist
14,37,Undirected,PoliSci-Hist
15,20,Undirected,Art-Media
15,21,Undirected,Art-Media
15,22,Undirected,Art-Cult
15,23,Undirected,Art-Cult
15,35,Undirected,Art-Hist
15,36,Undirected,Art-Hist
15,37,Undirected,Art-Hist
20,21,Undirected,Media
20,22,Undirected,Media-Cult
20,23,Undirected,Media-Cult
20,24,Undirected,Media-AdLit
20,25,Undirected,Media-AdLit
20,26,Undirected,Media-AdLit
20,27,Undirected,Media-AdLit
20,35,Undirected,Media-Hist
20,36,Undirected,Media-Hist
20,37,Undirected,Media-Hist
21,22,Undirected,Media-Cult
21,23,Undirected,Media-Cult
21,24,Undirected,Media-AdLit
21,25,Undirected,Media-AdLit
21,26,Undirected,Media-AdLit
21,27,Undirected,Media-AdLit
21,35,Undirected,Media-Hist
21,36,Undirected,Media-Hist
21,37,Undirected,Media-Hist
22,23,Undirected,Cult
22,24,Undirected,Cult-AdLit
22,25,Undirected,Cult-AdLit
22,26,Undirected,Cult-AdLit
22,27,Undirected,Cult-AdLit
22,35,Undirected,Cult-Hist
22,36,Undirected,Cult-Hist
22,37,Undirected,Cult-Hist
23,24,Undirected,Cult-AdLit
23,25,Undirected,Cult-AdLit
23,26,Undirected,Cult-AdLit
23,27,Undirected,Cult-AdLit
23,35,Undirected,Cult-Hist
23,36,Undirected,Cult-Hist
23,37,Undirected,Cult-Hist
24,35,Undirected,AdLit-Hist
24,36,Undirected,AdLit-Hist
24,37,Undirected,AdLit-Hist
25,35,Undirected,AdLit-Hist
25,36,Undirected,AdLit-Hist
25,37,Undirected,AdLit-Hist
26,35,Undirected,AdLit-Hist
26,36,Undirected,AdLit-Hist
26,37,Undirected,AdLit-Hist
27,35,Undirected,AdLit-Hist
27,36,Undirected,AdLit-Hist
27,37,Undirected,AdLit-Hist
35,36,Undirected,Hist
35,37,Undirected,Hist
36,37,Undirected,Hist
